parid,par,party,win_pct,state,votes_cast,votes_spoilt,ttl_reg,turn_out,malay,muslim_bumiputera,non_muslim_bumiputera,bp_sabah,bp_sarawak,org_asli_pen,others,chinese,indian,urbanisation_level,status,ttl_felda_area,age_21_30,age_31_40,age_41_50,age_51_60,age_61_70,age_71_80,age_81_90,age_above_90,coalition
1,PADANG BESAR,BN,0.4118,PERLIS,36500,780,46096,0.8087000000000001,0.8661,,,0.003,0.0068000000000000005,0.0002,0.030699999999999998,0.08449999999999999,0.0088,RURAL,FELDA,3,19.23,25.47,17.19,16.49,13.01,6.31,2.01,0.29,OPPOSITION
2,KANGAR,PKR,0.46799999999999997,PERLIS,44680,806,55938,0.8131999999999999,0.8170999999999999,,,0.0007000000000000001,0.0009,,0.012199999999999999,0.1523,0.0168,SEMI URBAN,NON-FELDA,0,18.17,24.12,17.31,17.98,13.54,6.4,2.14,0.34,GOVERNMENT
3,ARAU,BN,0.4179,PERLIS,39600,690,48187,0.8361,0.8765999999999999,,,0.0009,0.0007000000000000001,0.0001,0.0287,0.0766,0.0165,RURAL,NON-FELDA,0,17.91,22.77,19.23,18.3,12.85,6.44,2.18,0.32,OPPOSITION
4,LANGKAWI,PKR,0.5489999999999999,KEDAH,34527,604,42697,0.8228,0.9037000000000001,,,0.0019,0.0017000000000000001,,0.0036,0.06509999999999999,0.024,RURAL,NON-FELDA,0,19.21,25.74,22.74,17.0,9.75,3.89,1.49,0.18,GOVERNMENT
5,JERLUN,PKR,0.4255,KEDAH,43937,723,54132,0.825,0.9123,,,0.0003,0.0002,,0.0173,0.0689,0.001,RURAL,NON-FELDA,0,16.25,23.17,19.87,18.02,13.21,6.85,2.3,0.33,GOVERNMENT
6,KUBANG PASU,PKR,0.49700000000000005,KEDAH,60334,770,73881,0.8271,0.8649,,,0.0018,0.0018,0.0001,0.0116,0.08529999999999999,0.0346,SEMI URBAN,FELDA,3,19.71,24.62,18.64,17.17,12.44,5.43,1.7,0.29,GOVERNMENT
7,PADANG TERAP,BN,0.42090000000000005,KEDAH,38923,854,46644,0.8528,0.9214,,,0.0003,0.0003,,0.0635,0.0127,0.0017000000000000001,RURAL,FELDA,2,20.79,24.98,19.62,16.65,10.48,5.41,1.87,0.21,OPPOSITION
8,POKOK SENA,PKR,0.4093,KEDAH,70750,869,86892,0.8242,0.8145,,,0.0006,0.0012,,0.0046,0.1545,0.0245,RURAL,NON-FELDA,0,18.55,23.98,18.42,17.43,12.55,6.6,2.17,0.31,GOVERNMENT
9,ALOR SETAR,PKR,0.508,KEDAH,63931,881,80272,0.8073999999999999,0.6358,,,0.0005,0.001,,0.0034999999999999996,0.3172,0.0421,URBAN,NON-FELDA,0,16.09,22.07,17.84,18.84,14.83,7.33,2.45,0.56,GOVERNMENT
10,KUALA KEDAH,PKR,0.46259999999999996,KEDAH,79167,1111,97753,0.8212,0.7827,,,0.0003,0.0003,,0.003,0.2025,0.011200000000000002,RURAL,NON-FELDA,0,17.11,24.22,19.57,17.92,13.05,5.79,2.04,0.3,GOVERNMENT
