parid,age_21_30,age_31_40,age_41_50,age_51_60,age_61_70,age_71_80,age_81_90,age_above_90
1,19.23,25.47,17.19,16.49,13.01,6.31,2.01,0.29
2,18.17,24.12,17.31,17.98,13.54,6.4,2.14,0.34
3,17.91,22.77,19.23,18.3,12.85,6.44,2.18,0.32
4,19.21,25.74,22.74,17.0,9.75,3.89,1.49,0.18
5,16.25,23.17,19.87,18.02,13.21,6.85,2.3,0.33
6,19.71,24.62,18.64,17.17,12.44,5.43,1.7,0.29
7,20.79,24.98,19.62,16.65,10.48,5.41,1.87,0.21
8,18.55,23.98,18.42,17.43,12.55,6.6,2.17,0.31
9,16.09,22.07,17.84,18.84,14.83,7.33,2.45,0.56
10,17.11,24.22,19.57,17.92,13.05,5.79,2.04,0.3
11,18.69,23.33,20.26,17.39,11.75,6.03,2.25,0.31
12,17.49,22.71,20.82,18.05,12.29,6.05,2.19,0.39
13,20.36,25.29,20.57,15.42,11.18,5.11,1.76,0.3
14,18.94,26.6,19.92,17.04,11.5,4.35,1.41,0.25
15,18.31,22.2,20.39,19.54,12.14,5.3,1.79,0.35
16,22.01,23.92,19.65,16.41,10.64,5.04,2.0,0.33
17,19.25,23.25,21.44,18.72,10.96,4.55,1.54,0.28
18,17.67,23.47,20.15,18.53,12.13,5.72,1.93,0.4
19,23.59,25.06,18.95,15.43,9.8,5.22,1.49,0.47
20,24.63,27.42,18.81,14.73,9.0,4.09,1.05,0.27
21,20.27,24.14,18.28,17.35,12.1,5.79,1.68,0.39
22,21.69,25.12,19.04,15.64,10.23,5.95,1.75,0.59
23,21.92,24.05,19.38,16.26,10.44,5.68,1.7,0.57
24,24.86,25.64,18.04,15.44,9.28,4.9,1.53,0.3
25,24.1,26.46,19.4,14.55,9.2,4.84,1.12,0.34
26,24.18,26.6,19.0,15.01,9.1,4.54,1.28,0.28
27,24.58,26.21,18.78,14.97,9.91,4.22,1.1,0.23
28,23.94,25.62,19.01,14.76,9.53,5.26,1.53,0.35
29,24.13,25.03,18.83,15.43,9.67,4.86,1.69,0.36
30,25.2,25.57,19.96,14.54,8.68,4.38,1.29,0.37
31,24.41,26.37,18.53,14.68,9.64,4.78,1.34,0.26
32,30.89,26.67,15.78,13.03,9.55,3.43,0.55,0.1
33,27.37,26.69,18.58,13.97,8.23,3.94,1.05,0.17
34,27.52,27.36,18.34,13.3,8.04,4.0,1.21,0.23
35,28.58,27.58,17.68,13.5,7.92,3.6,0.97,0.16
36,22.87,25.79,18.2,16.23,10.27,5.0,1.34,0.3
37,27.23,26.92,18.16,14.14,8.19,4.05,1.1,0.2
38,26.41,27.74,17.26,13.71,8.68,4.53,1.39,0.27
39,26.4,27.32,18.63,14.61,8.32,3.59,0.94,0.19
40,25.51,27.17,18.83,15.32,8.65,3.5,0.8,0.2
41,19.27,23.17,21.75,17.13,11.12,5.7,1.63,0.24
42,18.96,25.36,20.55,16.55,10.96,5.73,1.63,0.26
43,12.88,20.08,21.24,20.61,15.47,7.14,2.1,0.48
44,17.53,23.35,20.91,18.98,12.44,5.2,1.4,0.2
45,15.92,21.92,20.58,18.61,14.12,6.6,1.93,0.31
46,15.63,22.52,21.7,19.29,12.85,5.93,1.75,0.32
47,18.64,23.77,21.79,17.55,11.29,5.25,1.49,0.23
48,10.9,16.27,18.86,20.48,17.57,11.03,3.98,0.93
49,6.96,11.99,17.05,23.64,22.21,11.41,4.4,2.33
50,13.44,19.28,19.01,20.55,16.48,7.9,2.72,0.61
51,14.63,21.26,20.15,18.69,14.46,7.92,2.45,0.44
