state,ttl_felda_area,par,status
Perlis,3,Padang Besar,FELDA
Kedah,3,Kubang Pasu,FELDA
Kedah,2,Padang Terap,FELDA
Kedah,1,Pendang,FELDA
Kedah,1,Sik,FELDA
Kedah,1,Baling,FELDA
Kedah,1,Kulim-Bandar Baharu,FELDA
Kelantan,4,Tanah Merah,FELDA
Kelantan,9,Gua Musang,FELDA
Terengganu,1,Besut,FELDA
Terengganu,3,Setiu,FELDA
Terengganu,1,Kuala Nerus,FELDA
Terengganu,3,Hulu Terengganu,FELDA
Terengganu,5,Dungun,FELDA
Terengganu,8,Kemaman,FELDA
Perak,2,Gerik,FELDA
Perak,3,Lenggong,FELDA
Perak,1,Larut,FELDA
Perak,1,Sungai Siput,FELDA
Perak,10,Tanjong Malim,FELDA
Pahang,4,Cameron Highland,FELDA
Pahang,2,Lipis,FELDA
Pahang,4,Raub,FELDA
Pahang,14,Jerantut,FELDA
Pahang,14,Paya Besar,FELDA
Pahang,8,Pekan,FELDA
Pahang,12,Maran,FELDA
Pahang,15,Kuala Krau,FELDA
Pahang,2,Temerloh,FELDA
Pahang,8,Bentong,FELDA
Pahang,14,Bera,FELDA
Pahang,15,Rompin,FELDA
Selangor,4,Hulu Selangor,FELDA
Negeri Sembilan,13,Jelebu,FELDA
Negeri Sembilan,26,Jempol,FELDA
Negeri Sembilan,1,Kuala Pilah,FELDA
Negeri Sembilan,9,Tampin,FELDA
Melaka,4,Alor Gajah,FELDA
Melaka,1,Jasin,FELDA
Johor,3,Segamat,FELDA
Johor,5,Sekijang,FELDA
Johor,4,Labis,FELDA
Johor,4,Pagoh,FELDA
Johor,1,Ledang,FELDA
Johor,3,Simpang Renggam,FELDA
Johor,5,Sembrong,FELDA
Johor,12,Mersing,FELDA
Johor,7,Tenggara,FELDA
Johor,9,Kota Tinggi,FELDA
Johor,12,Pengerang,FELDA
Johor,2,Tebrau,FELDA
Johor,5,Kulai,FELDA
Sabah,4,Silam,FELDA
Sabah,3,Kalabakan,FELDA
