parid,par,party,win_pct
1,PADANG BESAR,BN,41.18
2,KANGAR,PKR,46.8
3,ARAU,BN,41.79
4,LANGKAWI,PKR,54.9
5,JERLUN,PKR,42.55
6,KUBANG PASU,PKR,49.7
7,PADANG TERAP,BN,42.09
8,POKOK SENA,PKR,40.93
9,ALOR SETAR,PKR,50.8
10,KUALA KEDAH,PKR,46.26
11,PENDANG,PAS,42.63
12,JERAI,PAS,33.94
13,SIK,PAS,47.91
14,MERBOK,PKR,43.31
15,SUNGAI PETANI,PKR,49.21
16,BALING,BN,42.6
17,PADANG SERAI,PKR,45.27
18,KULIM-BANDAR BAHARU,PKR,42.62
19,TUMPAT,PAS,54.33
20,PENGKALAN CHEPA,PAS,54.88
21,KOTA BHARU,PAS,42.24
22,PASIR MAS,PAS,52.44
23,RANTAU PANJANG,PAS,50.82
24,KUBANG KERIAN,PAS,56.16
25,BACHOK,PAS,48.93
26,KETEREH,BN,47.95
27,TANAH MERAH,BN,48.44
28,PASIR PUTEH,PAS,47.41
29,MACHANG,BN,47.39
30,JELI,BN,55.89
31,KUALA KRAI,PAS,52.56
32,GUA MUSANG,BN,48.64
33,BESUT,BN,48.4
34,SETIU,PAS,48.65
35,KUALA NERUS,PAS,52.66
36,KUALA TERENGGANU,PAS,49.65
37,MARANG,PAS,59.27
38,HULU TERENGGANU,BN,49.6
39,DUNGUN,PAS,54.17
40,KEMAMAN,PAS,44.06
41,KEPALA BATAS,BN,42.94
42,TASEK GELUGOR,BN,35.73
43,BAGAN,PKR,85.96
44,PERMATANG PAUH,PKR,50.89
45,BUKIT MERTAJAM,PKR,85.4
46,BATU KAWAN,PKR,78.02
47,NIBONG TEBAL,PKR,56.92
48,BUKIT BENDERA,PKR,83.83
49,TANJONG,PKR,87.25
50,JELUTONG,PKR,79.63
51,BUKIT GELUGOR,PKR,86.68
52,BAYAN BARU,PKR,68.88
53,BALIK PULAU,PKR,51.17
54,GERIK,BN,48.49
55,LENGGONG,BN,53.97
56,LARUT,BN,45.9
