state,par,parid,votes_cast,votes_spoilt,ttl_reg,turn_out
Sarawak,KAPIT,215,18125,278,30658,60.03
Sarawak,BARAM,220,22352,399,35685,63.76
Sarawak,HULU RAJANG,216,17353,306,27520,64.17
Sarawak,TANJONG MANIS,206,14130,214,21899,65.5
Sarawak,IGAN,207,12581,317,19592,65.83
Sarawak,LIMBANG,221,17468,201,26409,66.91
Sarawak,LAWAS,222,14250,157,21297,67.65
Sarawak,MUKAH,213,20706,379,30608,68.89
Sarawak,BATANG LUPAR,201,20151,403,29811,68.95
Sarawak,SRI AMAN,202,23000,295,33016,70.56
Sarawak,LUBOK ANTU,203,14551,199,20801,70.91
Sarawak,SIBUTI,218,22369,284,31868,71.08
Sabah,SEMPORNA,189,33426,982,48248,71.31
Sarawak,KANOWIT,210,14792,295,21022,71.77
Sabah,SANDAKAN,186,28090,502,39777,71.88
Sarawak,BETONG,204,20720,283,29145,72.06
Sabah,KALABAKAN,191,36909,840,52199,72.32
Sabah,SILAM,188,43040,1079,60942,72.4
Sarawak,MIRI,219,57815,513,80386,72.56
Sabah,KUDAT,167,37079,955,52251,72.79
Sarawak,JULAU,209,18279,241,25380,72.97
Sabah,TAWAU,190,42753,981,59919,72.99
Sabah,BATU SAPI,185,23261,655,32574,73.42
Sarawak,BINTULU,217,47458,523,65049,73.76
Sarawak,SANTUBONG,193,33273,440,45628,73.89
Sarawak,SERIAN,199,27419,385,37629,73.89
Sarawak,SELANGAU,214,21970,334,30026,74.28
Kelantan,RANTAU PANJANG,23,48373,825,66115,74.41
Sarawak,BATANG SADONG,200,17066,220,23213,74.47
Sabah,KOTA MARUDU,168,33906,1179,47007,74.64
Sarawak,LANANG,211,45892,365,61973,74.64
Sarawak,PETRA JAYA,194,42945,354,57925,74.75
Sarawak,BANDAR KUCHING,195,61123,241,81856,74.97
Sarawak,SARATOK,205,22707,257,30517,75.25
Sabah,BELURAN,183,20698,832,28509,75.52
Wilayah Persekutuan (KL),BUKIT BINTANG,120,52408,254,69526,75.74
Sarawak,PUNCAK BORNEO,198,34520,514,46180,75.86
Sabah,KOTA KINABALU,172,42310,563,56220,76.26
Kelantan,KOTA BHARU,21,66969,689,88708,76.27
Wilayah Persekutuan (Labuan),LABUAN,166,21358,302,28356,76.39
Sabah,PUTATAN,173,30790,826,41312,76.53
Perak,BERUAS,68,60267,1009,79794,76.79
Sarawak,MAS GADING,192,22518,236,29617,76.83
Perak,KAMPAR,70,52495,858,69436,76.84
Kelantan,PASIR MAS,22,53551,1232,71222,76.92
Sabah,RANAU,179,32942,769,43706,77.13
Sabah,KINABATANGAN,187,21518,661,28730,77.2
Sarawak,SIBU,212,56753,515,74149,77.23
Sabah,LIBARAN,184,36143,948,47914,77.41
Perak,GERIK,54,27311,595,35903,77.73
Kelantan,GUA MUSANG,32,39936,948,52524,77.84
Sarawak,SARIKEI,208,30476,340,39561,77.89
Perak,IPOH TIMOR,64,70241,1023,91486,77.9
Sabah,SEPANGGAR,171,47785,913,62415,78.02
Perak,BATU GAJAH,66,62787,733,81399,78.04
Perak,TAIPING,60,69743,1092,90729,78.07
Perak,IPOH BARAT,65,65502,878,84874,78.21
Kelantan,KUBANG KERIAN,24,63428,735,82018,78.23
Perak,TAPAH,72,36174,760,47128,78.37
Sarawak,KOTA SAMARAHAN,197,35867,431,46300,78.4
Sabah,TENOM,181,22238,661,29182,78.47
Pahang,CAMERON HIGHLANDS,78,24365,790,32048,78.49
Sarawak,STAMPIN,196,51899,408,66240,78.97
Perak,SUNGAI SIPUT,62,42726,814,55002,79.16
Johor,MERSING,154,37368,796,48176,79.22
Kelantan,TUMPAT,19,86585,1402,110924,79.32
Sabah,PENSIANGAN,182,24368,528,31377,79.34
Perak,LENGGONG,55,23205,405,29752,79.36
Kelantan,KUALA KRAI,31,54987,861,70348,79.39
Sabah,KENINGAU,180,40149,522,51177,79.47
Perak,BAGAN DATUK,75,36806,814,47309,79.52
Sabah,SIPITANG,178,24771,596,31882,79.57
Kelantan,PENGKALAN CHEPA,20,59387,739,75384,79.76
Pulau Pinang,BUKIT BENDERA,48,59706,512,75069,80.22
Johor,JOHOR BAHRU,160,80322,1056,101409,80.25
Pahang,JERANTUT,81,50249,941,63609,80.48
Johor,LABIS,142,32030,485,40356,80.57
Kedah,ALOR SETAR,9,63931,881,80272,80.74
Perak,GOPENG,71,79233,853,99167,80.76
Kelantan,TANAH MERAH,27,58122,986,73172,80.78
Pulau Pinang,TANJONG,49,39727,347,49586,80.82
Negeri Sembilan,JEMPOL,127,57274,1025,72122,80.83
Perak,TANJONG MALIM,77,54297,1051,68468,80.84
Kelantan,PASIR PUTEH,28,68150,923,85411,80.87
Perlis,PADANG BESAR,1,36500,780,46096,80.87
Pahang,LIPIS,79,28092,462,35294,80.9
Pahang,MARAN,86,32725,482,41036,80.92
Pahang,PEKAN,85,70614,1393,88899,81.0
Johor,PENGERANG,157,32241,557,40479,81.02
Pahang,RAUB,80,46025,766,57723,81.06
Perak,PASIR SALAK,73,43445,895,54671,81.1
Kelantan,BACHOK,25,73964,1148,92606,81.11
