parid,malay,muslim_bumiputera,non_muslim_bumiputera,bp_sabah,bp_sarawak,org_asli_pen,others,chinese,indian,ttl
92,83.05,,,0.05,0.07,0.01,0.2,11.69,4.95,100.02
93,68.71,,,0.11,0.05,0.01,0.33,28.77,2.02,99.99999999999999
94,60.39,,,0.17,0.16,1.64,0.62,20.8,16.22,100.0
95,74.67,,,0.05,0.03,,0.35,15.96,8.94,100.0
96,65.43,,,0.1,0.08,0.01,0.37,12.92,21.09,100.0
97,51.79,,,0.21,0.18,0.22,1.16,28.73,17.7,99.99
98,75.8,,,0.15,0.14,0.39,2.08,10.67,10.77,100.0
99,54.79,,,0.2,0.13,0.01,1.5,34.66,8.71,100.0
100,45.58,,,0.34,0.15,0.01,0.85,45.95,7.12,100.0
101,64.98,,,0.32,0.27,0.75,1.19,22.08,10.42,100.01
102,48.48,,,0.28,0.22,0.01,0.93,38.95,11.12,99.99000000000001
103,36.86,,,0.32,0.17,0.15,0.49,51.98,10.03,100.0
104,26.62,,,0.41,0.27,0.01,1.05,56.49,15.15,100.0
105,46.57,,,0.31,0.22,0.01,1.32,32.03,19.54,100.0
106,19.67,,,0.18,0.12,0.19,0.99,69.42,9.42,99.99
107,65.33,,,0.46,0.47,0.04,1.35,21.64,10.72,100.00999999999999
108,75.26,,,0.3,0.23,0.07,0.53,10.83,12.78,100.0
109,70.72,,,0.25,0.09,0.02,0.58,14.78,13.55,99.99
110,26.44,,,0.37,0.13,0.05,0.67,55.26,17.09,100.01
111,43.15,,,0.59,0.15,0.01,0.76,27.66,27.68,100.0
112,57.17,,,0.18,0.13,1.72,0.5,24.03,16.26,99.99000000000001
113,62.33,,,0.31,0.23,2.05,0.54,20.33,14.21,100.0
1,86.61,,,0.3,0.68,0.02,3.07,8.45,0.88,100.00999999999999
2,81.71,,,0.07,0.09,,1.22,15.23,1.68,100.0
3,87.66,,,0.09,0.07,0.01,2.87,7.66,1.65,100.01
4,90.37,,,0.19,0.17,,0.36,6.51,2.4,100.00000000000001
5,91.23,,,0.03,0.02,,1.73,6.89,0.1,100.0
6,86.49,,,0.18,0.18,0.01,1.16,8.53,3.46,100.00999999999999
7,92.14,,,0.03,0.03,,6.35,1.27,0.17,99.99000000000001
8,81.45,,,0.06,0.12,,0.46,15.45,2.45,99.99000000000001
9,63.58,,,0.05,0.1,,0.35,31.72,4.21,100.00999999999999
10,78.27,,,0.03,0.03,,0.3,20.25,1.12,100.0
11,88.76,,,0.03,0.03,0.01,5.57,5.07,0.54,100.01
12,80.19,,,0.02,0.04,,0.26,13.57,5.91,99.99
13,92.98,,,0.05,0.03,0.01,5.31,1.46,0.17,100.01
14,68.58,,,0.16,0.39,0.01,0.46,15.06,15.34,100.0
15,60.71,,,0.04,0.05,0.01,0.42,26.83,11.95,100.01
16,88.87,,,0.05,0.04,0.11,1.41,4.38,5.14,100.0
17,59.05,,,0.04,0.04,,0.33,19.79,20.74,99.99
18,69.18,,,0.06,0.07,,0.16,17.65,12.87,99.99000000000001
41,78.56,,,0.06,0.06,,0.13,17.02,4.17,100.0
42,78.23,,,0.12,0.15,,0.21,14.71,6.59,100.01000000000002
43,13.35,,,0.05,0.03,,0.28,71.27,15.03,100.01
44,71.94,,,0.07,0.06,,0.36,21.41,6.16,99.99999999999999
45,19.34,,,0.06,0.03,,0.26,70.36,9.95,100.00000000000001
46,20.94,,,0.08,0.06,,0.3,55.87,22.76,100.01
47,47.7,,,0.07,0.04,0.01,0.2,35.03,16.95,100.00000000000001
48,14.65,,,0.09,0.09,,1.05,72.83,11.29,100.0
49,5.89,,,0.04,0.03,,0.31,84.17,9.55,99.99
50,22.62,,,0.06,0.04,,0.39,65.21,11.67,99.99
51,14.33,,,0.06,0.04,,0.45,73.86,11.27,100.01
52,39.6,,,0.19,0.18,,0.49,48.51,11.02,99.99
53,64.9,,,0.15,0.1,,0.27,30.16,4.43,100.01000000000002
54,69.1,,,0.55,0.84,9.07,3.09,14.05,3.29,99.99
55,83.46,,,0.07,0.05,2.13,0.16,12.69,1.44,99.99999999999999
56,89.69,,,0.05,0.04,,0.23,4.34,5.64,99.99
57,69.35,,,0.05,0.02,,0.13,25.7,4.76,100.00999999999999
58,77.89,,,0.04,0.04,,0.14,12.89,9.01,100.01
59,72.39,,,0.04,0.05,0.01,0.2,18.9,8.41,100.0
60,38.81,,,0.23,0.62,0.03,0.44,46.41,13.45,99.99
61,77.75,,,0.02,0.04,,0.13,15.42,6.65,100.01
62,34.28,,,0.05,0.04,8.3,0.16,36.28,20.89,100.0
63,66.32,,,0.18,0.33,1.08,0.45,20.22,11.42,100.0
64,21.0,,,0.08,0.09,0.02,0.39,72.01,6.4,99.99000000000001
65,11.83,,,0.04,0.06,0.03,0.47,63.16,24.42,100.01
