data
"P92 SABAK BERNAM  Mohd Fasiah Mohd Fakeh (BN - UMNO)31.5% (12,862)Warno Dogol (PH - PPBM)27.4% (11,188)Muhammad Labib Abd Jalil (PAS)22.8% (9,300)Registered voters: 40,863Majority: 1,674Spoilt votes: 565Unreturned votes: 0Voter Turnout: 34,023 (83.3%)DemographicsMalay 83.05%; Chinese 11.69%; Indian 4.95%; B/P Sabah 0.05%; B/P Sarawak 0.07%; Orang Asli (Pen. Msia) 0.01%; Others 0.2%Incumbent: Mohd Fasiah Mohd Fakeh"
"P93 SUNGAI BESAR  Muslimin Yahaya (PH - PKR)35.6% (17,350)Budiman Mohd Zohdi (BN - UMNO)34.1% (16,636)Mohamed Salleh M Husin (PAS)14.8% (7,220)Registered voters: 48,739Majority: 714Spoilt votes: 564Unreturned votes: 0Voter Turnout: 41,878 (85.9%)DemographicsMalay 68.71%; Chinese 28.77%; Indian 2.02%; B/P Sabah 0.11%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 0.01%; Others 0.33%Incumbent: Budiman Mohd Zohdi"
"P94 HULU SELANGOR  Leow Hsiad Hui (PH - PKR)40.4% (40,783)Kamalanathan Panchanathan (BN - MIC)27.1% (27,392)Wan Mat Sulaiman (PAS)16.5% (16,620)Kumar Paramasivam (IND)0.4% (426)Registered voters: 100,990Majority: 13,391Spoilt votes: 1,310Unreturned votes: 0Voter Turnout: 86,798 (85.9%)DemographicsMalay 60.39%; Chinese 20.8%; Indian 16.22%; B/P Sabah 0.17%; B/P Sarawak 0.16%; Orang Asli (Pen. Msia) 1.64%; Others 0.62%Incumbent: Kamalanathan Panchanathan"
"P95 TANJONG KARANG  Noh Omar (BN - UMNO)37.3% (17,596)Zulkafperi Hanapi (PH - PPBM)33.1% (15,626)Nor Az Azlan Ahmad (PAS)15.4% (7,276)Registered voters: 47,198Majority: 1,970Spoilt votes: 531Unreturned votes: 0Voter Turnout: 41,184 (87.3%)DemographicsMalay 74.67%; Chinese 15.96%; Indian 8.94%; B/P Sabah 0.05%; B/P Sarawak 0.03%; Others 0.35%Incumbent: Noh Omar"
"P96 KUALA SELANGOR  Dzulkefly Ahmad (PH - AMANAH)43.0% (29,842)Irmohizam Ibrahim (BN - UMNO)30.8% (21,344)Mohd Fakaruddin Ismail (PAS)12.3% (8,535)Registered voters: 69,397Majority: 8,498Spoilt votes: 996Unreturned votes: 0Voter Turnout: 60,843 (87.7%)DemographicsMalay 65.43%; Chinese 12.92%; Indian 21.09%; B/P Sabah 0.1%; B/P Sarawak 0.08%; Orang Asli (Pen. Msia) 0.01%; Others 0.37%Incumbent: Irmohizam Ibrahim"
"P97 SELAYANG  William Leong Jee Keen (PH - PKR)51.8% (60,158)Kang Meng Fuat (BN - MCA)16.8% (19,501)Hashim Abd Karim (PAS)15.8% (18,343)Registered voters: 116,176Majority: 40,657Spoilt votes: 953Unreturned votes: 0Voter Turnout: 99,450 (85.6%)DemographicsMalay 51.79%; Chinese 28.73%; Indian 17.7%; B/P Sabah 0.21%; B/P Sarawak 0.18%; Orang Asli (Pen. Msia) 0.22%; Others 1.16%Incumbent: William Leong Jee Keen"
"P98 GOMBAK  Mohamed Azmin Ali (PH - PKR)53.2% (75,113)Abdul Rahim Pandak Kamarudin (BN - UMNO)18.7% (26,392)Khairil Nizam Khirudin (PAS)12.4% (17,537)Registered voters: 141,112Majority: 48,721Spoilt votes: 933Unreturned votes: 0Voter Turnout: 120,548 (85.4%)DemographicsMalay 75.8%; Chinese 10.67%; Indian 10.77%; B/P Sabah 0.15%; B/P Sarawak 0.14%; Orang Asli (Pen. Msia) 0.39%; Others 2.08%Incumbent: Mohamed Azmin Ali"
"P99 AMPANG  Zuraida Kamaruddin (PH - PKR)59.2% (54,307)Leong Kim Soon (BN - MCA)13.5% (12,351)Nurul Islam Mohamed Yusoff (PAS)10.5% (9,598)Tan Hua Meng (PRM)0.3% (294)Registered voters: 91,737Majority: 41,956Spoilt votes: 608Unreturned votes: 0Voter Turnout: 77,539 (84.5%)DemographicsMalay 54.79%; Chinese 34.66%; Indian 8.71%; B/P Sabah 0.2%; B/P Sarawak 0.13%; Orang Asli (Pen. Msia) 0.01%; Others 1.5%Incumbent: Zuraida Kamaruddin"
"P100 PANDAN  Wan Azizah Wan Ismail (PH - PKR)63.9% (64,733)Leong Kok Wee (BN - MCA)12.0% (12,190)Mohamed Sukri Omar (PAS)8.2% (8,336)Lee Ying Ha (PRM)0.4% (442)Mohd Khairul Azam Abdul Aziz (IND)0.1% (73)Registered voters: 101,319Majority: 52,543Spoilt votes: 517Unreturned votes: 0Voter Turnout: 86,514 (85.4%)DemographicsMalay 45.58%; Chinese 45.95%; Indian 7.12%; B/P Sabah 0.34%; B/P Sarawak 0.15%; Orang Asli (Pen. Msia) 0.01%; Others 0.85%"
"P101 HULU LANGAT  Hasanuddin Mohd Yunus (PH - AMANAH)47.9% (49,004)Azman Ahmad (BN - UMNO)23.0% (23,580)Che Rosli Che Mat (PAS)15.3% (15,663)Registered voters: 102,363Majority: 25,424Spoilt votes: 929Unreturned votes: 0Voter Turnout: 89,577 (87.5%)DemographicsMalay 64.98%; Chinese 22.08%; Indian 10.42%; B/P Sabah 0.32%; B/P Sarawak 0.27%; Orang Asli (Pen. Msia) 0.75%; Others 1.19%Incumbent: Che Rosli Che Mat"
"P102 BANGI  Ong Kian Ming (PH - DAP)57.4% (102,557)Mohd Shafie Ngah (PAS)18.9% (33,789)Liew Yuen Keong (BN - MCA)11.1% (19,766)Wan Jinn Woei (PRM)0.1% (215)Registered voters: 178,790Majority: 68,768Spoilt votes: 1,114Unreturned votes: 0Voter Turnout: 157,933 (88.3%)DemographicsMalay 48.48%; Chinese 38.95%; Indian 11.12%; B/P Sabah 0.28%; B/P Sarawak 0.22%; Orang Asli (Pen. Msia) 0.01%; Others 0.93%Incumbent: Ong Kian Ming"
